mean	sd	cv	mean hk	sd hk	cv hk	ZT	expression ratio (goi/hk)
43.245	15.8907952	36.74632587	26.142	6.130812338	23.45173533	0	1.65420249
114.147	30.80141948	26.98397568	36.018	2.174798108	6.038162227	0	3.169207135
58.739	44.05716746	75.00536908	24.595	0.599575222	2.437829377	0	2.388272339
41.170	15.98290291	38.82177459	17.198	0.3577139	2.079956464	0	2.393859767
9.752	8.423563996	86.376543	14.771	1.84860303	12.51474776	4	0.660204532
4.240	NA	NA	27.458	5.779424028	21.04817661	4	0.154432493
1.746	NA	NA	26.927	NA	NA	4	0.064832717
9.111	2.955121107	32.4336165	20.316	2.92672714	14.40595612	4	0.44847657
77.145	51.78761575	67.12992009	36.021	5.072017395	14.0805863	8	2.141656379
74.682	15.55319956	20.82599648	37.165	0.696111896	1.873051771	8	2.009484587
50.728	36.96522802	72.86918146	32.840	2.68744944	8.183483505	8	1.544711598
135.383	60.48430167	44.67648952	43.020	2.891928273	6.722365163	8	3.147010651
87.757	11.55095064	13.1623737	35.930	1.238444874	3.446841301	12	2.442463708
141.714	15.57418448	10.98985533	29.647	2.1741018	7.333208095	12	4.779995337
172.463	48.61105721	28.18629273	36.513	3.307868837	9.059371425	12	4.723314819
74.831	36.68360772	49.0219947	26.004	0.633689305	2.436903951	12	2.877683965
60.275	43.98661047	72.97672376	30.108	16.55888279	54.99755084	16	2.001927996
118.869	47.33066447	39.81740212	29.120	2.891468202	9.929526638	16	4.082063957
83.103	38.52081412	46.3531696	21.691	4.541761691	20.93842534	16	3.831207691
163.495	80.602238	49.29963516	24.706	4.945679535	20.0181803	16	6.617622963
39.653	3.955532236	9.975293996	33.437	3.193804017	9.551656948	20	1.185904392
50.668	13.82031083	27.27636725	29.231	1.793878396	6.136997474	20	1.733381776
149.779	39.05294548	26.07375443	23.457	3.967810044	16.91522821	20	6.385239816
140.700	23.34528678	16.59221219	30.880	1.180487248	3.822831812	20	4.556368194